task_id,project_id,project_domain,project_status,project_budget,project_start_days_ago,assignee_id,assignee_role,assignee_experience,assignee_availability,assignee_cost_rate,assignee_recent_hours,assignee_utilization,task_type,priority,complexity_score,status,progress_percentage,estimated_effort_hours,estimated_duration_days,num_dependencies,dependency_depth,num_risks,max_risk_severity,max_risk_severity_ord,avg_risk_probability,risk_level,actual_effort_hours,actual_duration_days,is_delayed,delay_days,effort_overrun_ratio
32,2,SaaS,In Progress,1065000,1332,141,Project Manager,4.7,0.61,161.93,59,0.514,API Integration,Medium,4.3,Not Started,0,17.1,1,1,1,1,37,1,0.74,Low,0,0,0,0,0
33,2,SaaS,In Progress,1065000,1332,42,DevOps Engineer,2.9,0.8,120.29,32.3,0.369,Performance Optimization,High,8.7,In Progress,25.9,145.8,20,1,1,2,38,3,0.255,High,45.6,5,0,0,0
34,2,SaaS,In Progress,1065000,1332,24,Developer,5.4,0.66,104.18,47.6,0.449,UI/UX Design,Critical,7.1,In Progress,55.6,23.9,4,0,0,0,None,0,0,Low,13.1,2,0,0,0
35,2,SaaS,In Progress,1065000,1332,23,Developer,3.8,0.67,92.32,37.4,0.358,Research,Low,3.8,Blocked,27.6,152.9,35,3,2,0,None,0,0,Low,40.4,9,0,0,0
36,2,SaaS,In Progress,1065000,1332,21,UI/UX Designer,5.6,0.89,105.39,40.2,0.511,Frontend Development,Medium,9,Not Started,0,11.2,2,0,0,1,42,4,0.4,Critical,0,0,0,0,0
37,2,SaaS,In Progress,1065000,1332,103,UI/UX Designer,2.4,0.7,103.14,67.8,0.678,Performance Optimization,Low,1.5,Blocked,8.9,11.5,1,1,2,0,None,0,0,Low,1,0,0,0,0
38,2,SaaS,In Progress,1065000,1332,15,Developer,4.8,0.54,98.99,42,0.324,Performance Optimization,High,1.1,Not Started,0,80.6,9,1,1,3,44,4,0.77,Critical,0,0,0,0,0
39,2,SaaS,In Progress,1065000,1332,113,Developer,1.5,0.56,94.97,22,0.176,Deployment,High,5.4,Blocked,19.2,25.2,2,0,0,0,None,0,0,Low,5.3,0,0,0,0
40,2,SaaS,In Progress,1065000,1332,50,UI/UX Designer,1.7,0.76,92.31,31.3,0.34,Backend Development,Medium,9.7,Not Started,0,32.4,4,1,3,2,49,2,0.76,Medium,0,0,0,0,0
41,2,SaaS,In Progress,1065000,1332,44,DevOps Engineer,3.8,0.99,118.5,32.6,0.461,Backend Development,High,3.8,Completed,100,200,36,1,4,1,50,1,0.12,Low,272.7,49,1,13,0.363
42,2,SaaS,In Progress,1065000,1332,1,Developer,4.2,0.87,104.88,47.9,0.595,Data Migration,Low,3.4,Completed,100,24.9,4,0,0,0,None,0,0,Low,20.2,4,0,0,0
43,2,SaaS,In Progress,1065000,1332,103,UI/UX Designer,2.4,0.7,103.14,67.8,0.678,Database Design,Low,4.1,Not Started,0,37.4,11,2,2,1,52,2,0.12,Medium,0,0,0,0,0
44,2,SaaS,In Progress,1065000,1332,52,UI/UX Designer,4.2,0.97,101.01,34.8,0.482,DevOps Setup,High,9.8,Blocked,34.6,108.5,5,0,0,0,None,0,0,Low,34.5,1,0,0,0
45,2,SaaS,In Progress,1065000,1332,24,Developer,5.4,0.66,104.18,47.6,0.449,Security Review,Low,5.1,In Progress,39.9,74,16,0,0,2,55,2,0.805,Medium,28.1,6,0,0,0
46,2,SaaS,In Progress,1065000,1332,89,Senior Developer,6.2,0.88,135.91,29.6,0.372,Security Review,Medium,7.7,Not Started,0,29.3,1,0,0,0,None,0,0,Low,0,0,0,0,0
47,2,SaaS,In Progress,1065000,1332,117,Developer,2.9,0.69,102.71,20.8,0.205,Research,Medium,9.6,Completed,100,14.4,2,3,3,0,None,0,0,Low,19.7,2,0,0,0.368
48,2,SaaS,In Progress,1065000,1332,67,Senior Developer,3.8,0.99,128.1,69.9,0.989,Bug Fixing,Medium,9.7,In Progress,15.7,34,6,0,0,1,58,2,0.58,Medium,5.2,0,0,0,0
49,2,SaaS,In Progress,1065000,1332,144,Developer,3,0.98,98.2,64.3,0.9,Database Design,Medium,2.3,In Progress,56.7,15,1,0,0,1,59,1,0.32,Low,10.1,0,0,0,0
50,2,SaaS,In Progress,1065000,1332,30,UI/UX Designer,2.3,0.95,95.32,28.1,0.381,Frontend Development,Medium,8.3,Not Started,0,8.7,1,3,4,3,61,2,0.35,Medium,0,0,0,0,0
51,2,SaaS,In Progress,1065000,1332,138,Senior Developer,3.5,0.53,119.4,63.9,0.484,Deployment,Medium,7.1,Not Started,0,7,2,3,2,0,None,0,0,Low,0,0,0,0,0
52,2,SaaS,In Progress,1065000,1332,114,Developer,5.1,0.81,114.73,65.6,0.759,Research,High,9.3,Not Started,0,12.5,1,2,5,0,None,0,0,Low,0,0,0,0,0
53,2,SaaS,In Progress,1065000,1332,87,Senior Developer,7.7,0.52,138.25,58.3,0.433,UI/UX Design,Medium,7.4,Completed,100,108.3,17,0,0,3,65,2,0.833,Medium,90.7,16,0,0,0
54,2,SaaS,In Progress,1065000,1332,8,Senior Developer,6.8,0.73,155.81,24.2,0.252,Deployment,Medium,9.6,Blocked,23.5,9,1,0,0,0,None,0,0,Low,1.9,0,0,0,0
55,3,Healthcare,On Hold,1073000,1292,147,Senior Developer,11.5,0.64,162.44,51,0.466,Documentation,Medium,8.3,In Progress,27.6,33.4,5,0,0,1,69,2,0.62,Medium,9.4,1,0,0,0
56,3,Healthcare,On Hold,1073000,1292,49,Senior Developer,6.2,0.84,130.17,27.3,0.328,Testing & QA,Low,2.5,Blocked,26.7,21.6,2,1,1,0,None,0,0,Low,5.1,0,0,0,0
57,3,Healthcare,On Hold,1073000,1292,62,Senior Developer,4.2,0.77,138.21,34.8,0.383,Documentation,High,9.6,In Progress,11.8,30,3,0,0,1,71,2,0.86,Medium,4.8,0,0,0,0
58,3,Healthcare,On Hold,1073000,1292,52,UI/UX Designer,4.2,0.97,101.01,34.8,0.482,Research,Medium,4.9,In Progress,35.6,67.1,2,1,1,1,72,3,0.83,High,19.8,0,0,0,0
59,3,Healthcare,On Hold,1073000,1292,92,QA Engineer,1.4,0.86,93.75,34.7,0.426,Research,Medium,2.7,Blocked,47.6,57.7,10,1,1,0,None,0,0,Low,31.9,4,0,0,0
60,3,Healthcare,On Hold,1073000,1292,21,UI/UX Designer,5.6,0.89,105.39,40.2,0.511,Database Design,High,7.8,In Progress,9.7,34.8,7,0,0,1,74,4,0.78,Critical,3.7,0,0,0,0
61,3,Healthcare,On Hold,1073000,1292,2,Senior Developer,5.7,0.58,131.62,24.5,0.203,Data Migration,Critical,7,Not Started,9.8,33.9,7,3,2,2,75,1,0.47,Low,4.2,0,0,0,0
62,3,Healthcare,On Hold,1073000,1292,124,DevOps Engineer,2.7,0.82,117.95,60.4,0.708,Deployment,High,1.1,In Progress,21.4,7,1,3,2,0,None,0,0,Low,1.9,0,0,0,0
63,3,Healthcare,On Hold,1073000,1292,148,DevOps Engineer,1,0.73,107.02,27.8,0.29,DevOps Setup,High,3.9,Not Started,50.9,33.1,2,1,2,0,None,0,0,Low,18.7,1,0,0,0
64,3,Healthcare,On Hold,1073000,1292,131,Senior Developer,6.6,0.54,155.72,64.1,0.494,Research,Medium,5.3,In Progress,39.7,68.4,8,0,0,0,None,0,0,Low,23,3,0,0,0
65,3,Healthcare,On Hold,1073000,1292,33,DevOps Engineer,5.3,0.9,124.5,23.5,0.302,Testing & QA,Medium,9.3,Blocked,59.6,30.6,3,3,1,0,None,0,0,Low,14.9,1,0,0,0
66,3,Healthcare,On Hold,1073000,1292,123,Developer,3.8,0.98,102.64,57.4,0.804,Backend Development,Medium,4.5,Not Started,45.3,5.1,1,2,2,1,81,2,0.34,Medium,2.7,0,0,0,0
67,3,Healthcare,On Hold,1073000,1292,101,UI/UX Designer,4.1,0.74,99.73,37.9,0.401,Security Review,Low,4.2,Not Started,47.3,161.7,28,3,3,2,83,3,0.895,High,68.9,13,0,0,0
68,3,Healthcare,On Hold,1073000,1292,118,Senior Developer,6.3,0.67,157.11,24.2,0.232,Research,High,6.9,In Progress,14.4,67,1,1,3,0,None,0,0,Low,9.7,0,0,0,0
69,3,Healthcare,On Hold,1073000,1292,81,QA Engineer,4.3,0.93,105.23,47.8,0.635,Frontend Development,High,3,Not Started,2.3,96.7,16,2,3,1,85,4,0.26,Critical,1.8,0,0,0,0
70,3,Healthcare,On Hold,1073000,1292,54,Project Manager,2.2,0.63,137.46,26.3,0.237,Code Review,Low,9.6,Blocked,34.9,10.5,1,0,0,0,None,0,0,Low,3.6,0,0,0,0
71,3,Healthcare,On Hold,1073000,1292,93,Senior Developer,0.9,0.9,109.68,41,0.527,UI/UX Design,Medium,7.8,Not Started,16.9,75.5,16,1,2,1,87,2,0.33,Medium,12,2,0,0,0
72,3,Healthcare,On Hold,1073000,1292,141,Project Manager,4.7,0.61,161.93,59,0.514,Performance Optimization,High,8,In Progress,28.6,200,30,2,3,0,None,0,0,Low,58.9,8,0,0,0
73,3,Healthcare,On Hold,1073000,1292,88,Developer,0.5,0.91,84.69,32.6,0.424,Testing & QA,Medium,4,Not Started,51.3,100.1,6,2,4,2,89,2,0.545,Medium,45.3,3,0,0,0
74,3,Healthcare,On Hold,1073000,1292,54,Project Manager,2.2,0.63,137.46,26.3,0.237,DevOps Setup,Low,4.7,Not Started,48.7,51.2,8,2,1,0,None,0,0,Low,28.3,3,0,0,0
75,3,Healthcare,On Hold,1073000,1292,94,Developer,3.5,0.72,91.45,48.9,0.503,UI/UX Design,High,7.9,Not Started,39.3,77.6,20,2,3,0,None,0,0,Low,29.6,7,0,0,0
76,3,Healthcare,On Hold,1073000,1292,47,QA Engineer,4.5,0.55,104.57,24.2,0.19,Research,Medium,4.8,Not Started,2.3,9.2,1,1,4,0,None,0,0,Low,0.2,0,0,0,0
77,3,Healthcare,On Hold,1073000,1292,59,Senior Developer,6.6,0.82,134.13,57.2,0.67,Performance Optimization,Low,1.5,Blocked,58.4,48.6,10,1,3,2,94,2,0.55,Medium,25.3,5,0,0,0
78,3,Healthcare,On Hold,1073000,1292,61,Senior Developer,6.7,0.5,136.89,59.3,0.424,Research,Low,3.1,Not Started,0.1,1.5,1,2,3,0,None,0,0,Low,0,0,0,0,0
79,3,Healthcare,On Hold,1073000,1292,51,Data Engineer,0.5,0.85,100.18,63.5,0.771,Security Review,Medium,8.6,Not Started,25.4,9,2,0,0,0,None,0,0,Low,2.1,0,0,0,0
80,3,Healthcare,On Hold,1073000,1292,39,Developer,2.6,0.76,99.95,21.1,0.229,Database Design,High,8.4,Blocked,10.9,88.6,23,3,4,2,98,4,0.255,Critical,10.4,2,0,0,0
81,3,Healthcare,On Hold,1073000,1292,108,Senior Developer,4.5,0.97,136.78,38.8,0.538,Documentation,High,6.3,In Progress,39.7,10.2,1,3,5,0,None,0,0,Low,3.7,0,0,0,0
82,3,Healthcare,On Hold,1073000,1292,133,Project Manager,0.5,0.91,134,20,0.26,Documentation,Low,8,Blocked,35,182.5,17,1,2,0,None,0,0,Low,75.4,5,0,0,0
83,4,Finance,In Progress,45000,841,89,Senior Developer,6.2,0.88,135.91,29.6,0.372,Security Review,Medium,7.4,Not Started,0,4.9,1,0,0,0,None,0,0,Low,0,0,0,0,0
84,4,Finance,In Progress,45000,841,51,Data Engineer,0.5,0.85,100.18,63.5,0.771,Backend Development,Medium,5.6,Not Started,0,20.9,3,0,0,2,103,4,0.86,Critical,0,0,0,0,0
85,4,Finance,In Progress,45000,841,73,QA Engineer,4.2,0.98,103.63,35.4,0.496,Performance Optimization,Medium,9.4,Completed,100,2.1,1,0,0,1,105,2,0.46,Medium,2.7,1,0,0,0.286
86,4,Finance,In Progress,45000,841,115,Developer,5,0.64,99.4,55.9,0.511,DevOps Setup,Medium,9.3,Blocked,29.3,22.5,7,0,0,3,107,2,0.667,Medium,7.2,2,0,0,0
87,4,Finance,In Progress,45000,841,119,Developer,2.5,0.88,100.49,30.3,0.381,Bug Fixing,Low,8.3,Not Started,0,19.9,4,3,1,0,None,0,0,Low,0,0,0,0,0
88,4,Finance,In Progress,45000,841,87,Senior Developer,7.7,0.52,138.25,58.3,0.433,Data Migration,Critical,4,Completed,100,16.9,1,1,1,0,None,0,0,Low,28.3,1,0,0,0.675
89,4,Finance,In Progress,45000,841,19,QA Engineer,3.8,0.54,104.47,62.5,0.482,UI/UX Design,High,9.5,Blocked,22.4,57.4,17,1,1,1,111,2,0.22,Medium,12.5,3,0,0,0
90,4,Finance,In Progress,45000,841,81,QA Engineer,4.3,0.93,105.23,47.8,0.635,Frontend Development,Low,4.5,Completed,100,76.3,18,3,2,1,112,3,0.45,High,62.2,25,1,7,0
91,4,Finance,In Progress,45000,841,102,Developer,4.9,0.75,105.26,21,0.225,DevOps Setup,High,3.1,Not Started,0,30.8,6,2,3,1,113,2,0.94,Medium,0,0,0,0,0
92,4,Finance,In Progress,45000,841,134,Developer,0.5,0.99,91.54,66.2,0.936,Testing & QA,High,9.7,Not Started,0,41.8,11,1,1,1,114,1,0.86,Low,0,0,0,0,0
93,4,Finance,In Progress,45000,841,6,QA Engineer,1.8,0.72,83.56,53.9,0.554,Documentation,Medium,8.8,Completed,100,200,33,3,4,2,115,2,0.35,Medium,181.5,45,1,12,0
94,4,Finance,In Progress,45000,841,21,UI/UX Designer,5.6,0.89,105.39,40.2,0.511,Database Design,High,2.2,Not Started,0,2.5,1,1,2,2,117,2,0.55,Medium,0,0,0,0,0
95,4,Finance,In Progress,45000,841,25,UI/UX Designer,5,0.94,111.87,26.9,0.361,API Integration,Low,3.6,In Progress,75.4,18.6,1,0,0,1,119,1,0.75,Low,15.9,0,0,0,0
96,4,Finance,In Progress,45000,841,141,Project Manager,4.7,0.61,161.93,59,0.514,Frontend Development,Critical,6.6,Blocked,25,15.2,3,0,0,0,None,0,0,Low,5.5,0,0,0,0
97,4,Finance,In Progress,45000,841,135,Developer,1.2,0.89,91.15,38.2,0.486,Backend Development,Low,3.6,Blocked,15.7,36,4,2,2,1,121,3,0.43,High,5.3,0,0,0,0
98,4,Finance,In Progress,45000,841,68,Senior Developer,4,0.95,135.46,48.1,0.653,Deployment,Critical,7.6,In Progress,40.3,5.3,1,1,1,0,None,0,0,Low,2.2,0,0,0,0
99,4,Finance,In Progress,45000,841,80,QA Engineer,4.4,0.68,93.57,46.7,0.454,Performance Optimization,Low,7.2,Blocked,16.6,17.4,1,3,2,0,None,0,0,Low,2.4,0,0,0,0
100,4,Finance,In Progress,45000,841,114,Developer,5.1,0.81,114.73,65.6,0.759,API Integration,Medium,6.8,Not Started,0,63.4,9,3,2,1,124,3,0.35,High,0,0,0,0,0
101,4,Finance,In Progress,45000,841,8,Senior Developer,6.8,0.73,155.81,24.2,0.252,Data Migration,Low,2.8,Completed,100,126.6,36,3,2,1,125,2,0.45,Medium,133.1,48,1,12,0.051
102,4,Finance,In Progress,45000,841,122,QA Engineer,3.1,0.69,83.36,66.6,0.656,Backend Development,High,3.5,Not Started,0,23.3,2,2,1,0,None,0,0,Low,0,0,0,0,0
103,4,Finance,In Progress,45000,841,141,Project Manager,4.7,0.61,161.93,59,0.514,Documentation,Critical,9.7,Not Started,0,6.7,1,2,2,0,None,0,0,Low,0,0,0,0,0
104,4,Finance,In Progress,45000,841,117,Developer,2.9,0.69,102.71,20.8,0.205,Documentation,Low,7.3,Completed,100,200,23,3,5,0,None,0,0,Low,210.7,25,1,2,0.053
105,5,Cybersecurity,Completed,1860000,1257,35,Project Manager,1.2,0.61,125.35,60,0.523,Backend Development,Low,3.4,Completed,100,15.2,2,0,0,2,130,4,0.935,Critical,15.2,2,0,0,0
106,5,Cybersecurity,Completed,1860000,1257,137,UI/UX Designer,3,0.51,102.85,24.3,0.177,DevOps Setup,Medium,1.7,Completed,100,5.8,1,1,1,1,131,4,0.92,Critical,4.9,1,0,0,0
107,5,Cybersecurity,Completed,1860000,1257,126,Senior Developer,3,0.9,133.83,51.5,0.662,Backend Development,High,6.4,Completed,100,53.3,6,2,2,1,132,2,0.93,Medium,68.5,8,1,2,0.285
108,5,Cybersecurity,Completed,1860000,1257,3,QA Engineer,6.9,0.51,117.71,25.8,0.188,Deployment,Medium,7.4,Completed,100,23.9,5,3,3,2,133,2,0.585,Medium,29.3,5,0,0,0.226
109,5,Cybersecurity,Completed,1860000,1257,75,Developer,1.9,0.58,94.13,51.2,0.424,Deployment,Medium,8.8,Completed,100,8.3,1,0,0,0,None,0,0,Low,12.1,0,0,0,0.458
110,5,Cybersecurity,Completed,1860000,1257,2,Senior Developer,5.7,0.58,131.62,24.5,0.203,Performance Optimization,Medium,2.8,Completed,100,5.2,1,1,4,1,136,2,0.29,Medium,6.3,1,0,0,0.212
111,5,Cybersecurity,Completed,1860000,1257,106,DevOps Engineer,0.5,0.83,100.37,32.6,0.387,Security Review,Medium,1.1,Completed,100,49.8,4,0,0,1,137,2,0.85,Medium,60.2,4,0,0,0.209
112,5,Cybersecurity,Completed,1860000,1257,102,Developer,4.9,0.75,105.26,21,0.225,Bug Fixing,Medium,4.6,Completed,100,200,42,2,3,1,138,2,0.59,Medium,277.6,43,1,1,0.388
113,5,Cybersecurity,Completed,1860000,1257,100,Senior Developer,8.6,0.68,165.41,31.6,0.307,API Integration,Low,7.7,Completed,100,30.7,2,1,4,0,None,0,0,Low,44.2,2,0,0,0.44
114,5,Cybersecurity,Completed,1860000,1257,68,Senior Developer,4,0.95,135.46,48.1,0.653,Research,Medium,7.5,Completed,100,28,3,1,3,0,None,0,0,Low,22.6,3,0,0,0
115,5,Cybersecurity,Completed,1860000,1257,62,Senior Developer,4.2,0.77,138.21,34.8,0.383,Frontend Development,Medium,3.2,Completed,100,4.8,1,3,5,0,None,0,0,Low,6.2,0,0,0,0.292
116,5,Cybersecurity,Completed,1860000,1257,70,Senior Developer,9.6,0.6,170.04,37.9,0.325,Security Review,High,7.6,Completed,100,155.8,29,3,6,2,143,4,0.39,Critical,130.2,31,1,2,0
117,5,Cybersecurity,Completed,1860000,1257,137,UI/UX Designer,3,0.51,102.85,24.3,0.177,Testing & QA,High,1.6,Completed,100,25,2,2,7,1,144,2,0.49,Medium,30.5,2,0,0,0.22
118,5,Cybersecurity,Completed,1860000,1257,49,Senior Developer,6.2,0.84,130.17,27.3,0.328,Deployment,Medium,9.6,Completed,100,12.2,1,2,4,0,None,0,0,Low,16.9,1,0,0,0.385
119,6,Cybersecurity,On Hold,195000,809,73,QA Engineer,4.2,0.98,103.63,35.4,0.496,Backend Development,Low,6.6,In Progress,44.6,6.2,1,0,0,0,None,0,0,Low,3,0,0,0,0
120,6,Cybersecurity,On Hold,195000,809,3,QA Engineer,6.9,0.51,117.71,25.8,0.188,Testing & QA,Low,4.3,Not Started,55.2,13.3,2,1,1,1,147,2,0.76,Medium,7.6,1,0,0,0
121,6,Cybersecurity,On Hold,195000,809,127,Developer,3,0.53,98.72,31.1,0.235,API Integration,Low,4.3,In Progress,53.7,4.2,1,1,2,0,None,0,0,Low,2.4,0,0,0,0
122,6,Cybersecurity,On Hold,195000,809,128,Senior Developer,3.8,0.72,141.05,65.5,0.674,API Integration,Medium,6.7,Not Started,14.9,25.1,7,2,3,1,149,2,0.65,Medium,4,1,0,0,0
123,6,Cybersecurity,On Hold,195000,809,85,Developer,1.1,0.79,81.35,50.1,0.565,DevOps Setup,Medium,6.8,In Progress,56.2,4.8,1,0,0,0,None,0,0,Low,2.2,0,0,0,0
124,6,Cybersecurity,On Hold,195000,809,15,Developer,4.8,0.54,98.99,42,0.324,Frontend Development,High,5,In Progress,1.3,17.1,4,1,1,0,None,0,0,Low,0.2,0,0,0,0
125,6,Cybersecurity,On Hold,195000,809,140,QA Engineer,0.9,0.98,81.51,65.3,0.914,Testing & QA,High,9.3,In Progress,6.3,32.6,3,0,0,1,152,2,0.84,Medium,2.4,0,0,0,0
126,6,Cybersecurity,On Hold,195000,809,98,Developer,4,0.98,106.85,20.1,0.281,Documentation,Low,2.4,Not Started,9.6,7.3,1,1,2,0,None,0,0,Low,0.6,0,0,0,0
127,6,Cybersecurity,On Hold,195000,809,64,Senior Developer,7.6,0.66,159.28,57.5,0.542,Research,Low,8.9,Blocked,48.8,63.5,5,0,0,0,None,0,0,Low,33.3,2,0,0,0
128,6,Cybersecurity,On Hold,195000,809,64,Senior Developer,7.6,0.66,159.28,57.5,0.542,UI/UX Design,High,3.8,Not Started,15,22.3,2,2,4,0,None,0,0,Low,3.7,0,0,0,0
129,6,Cybersecurity,On Hold,195000,809,118,Senior Developer,6.3,0.67,157.11,24.2,0.232,Code Review,Critical,8.5,In Progress,47.4,6.5,1,3,5,0,None,0,0,Low,3.6,0,0,0,0
130,6,Cybersecurity,On Hold,195000,809,54,Project Manager,2.2,0.63,137.46,26.3,0.237,Code Review,High,4.2,Blocked,30.3,28.5,5,1,1,1,157,1,0.46,Low,11.5,1,0,0,0
